# FROZEN synthetic fixture for capability/selftest.py (#14 review, should-fix #2:
# fleet/scratch/ticket-assign-review.md Q4a). Hand-designed, NOT derived from the
# live fleet/model-scorecard.tsv (which is append-only and was mid-benchmark-run
# when this was written) — do not append live rows here; this file's whole point
# is to stay stable while the live scorecard keeps growing.
#
# Same 13-column shape ScorecardGradesProvider._load() parses:
#   date  source  ref  work_class  tier  model  verdict  gate  score  time_s  cost_usd  corrections  note
#
# REAL-OUTCOMES PIVOT (BENCH-REGROUND-LIVE, A2): the real-outcome rows use
# source=live (the ONLY genuinely-real production-outcome provenance; see
# grades.py _REAL_OUTCOME_SOURCES allow-list). `ticket` was test-only and never a
# production source (not in model-scorecard.sh VALID_SOURCE="live bench bench2"),
# so these rows — the test-time analog of real routed tickets/PRs — carry
# source=live now, matching what the grade actually consumes.
#
# Model ids reuse real charon/src/charon/model_catalog.py entries (glm-5.2=med,
# claude-opus-4-8=high, claude-haiku-4.5=low, claude-sonnet-5=med, gpt-5.5=high,
# kimi-k2.6=med) on purpose, so get_tier_hint() resolves real tiers and the
# tier-exclusion path is exercisable without faking the catalog. hy3-preview-or
# is deliberately NOT in the catalog (tier_hint=None), matching the real
# benchmark-only-id gap get_tier_hint()'s docstring calls out.
#
# Coverage designed in:
#   - routing: glm-5.2 n=3 (2 MERGE + 1 real BLOCK) vs kimi-k2.6 n=1 lucky MERGE
#     -> the small-N-over-trust inversion case (must-fix #1).
#   - ci-infra: exactly one clean-MERGE model among FIXES competitors.
#   - money-path: hy3-preview-or is the only BLOCK verdict.
#   - refactor / bugfix: independent distinct winners (differentiation proof).
#   - frontend: claude-opus-4-8 + glm-5.2 have DIRECT data; claude-sonnet-5 does
#     not (its only data is under "tests") -> generalist-fallback-vs-direct
#     de-prioritization case (should-fix #3).
#   - tests: claude-sonnet-5 n=5 (4 MERGE + 1 FIXES) -> a high-n, NOT
#     LOW_CONFIDENCE case, for contrast against the n=1/n=3 low-n cases above.
#   - greenfield-feature: intentionally NO rows for anyone -> pure
#     generalist-fallback path (should-fix #2's fallback coverage ask).
#   - SYNTHETIC-EXCLUSION (BENCH-REGROUND-LIVE, allow-list): glm-5.2/routing has
#     added source=bench (MERGE) + source=bench2 (BLOCK) rows that MUST NOT enter
#     its grade (proves exclusion); `synth-only-model` has ONLY bench/bench2 rows
#     -> grade() must be None. If the allow-list is reverted these rows leak in
#     and the dedicated selftest checks FAIL — the demotion is really exercised.
2026-01-01	live	FIX-001	routing	T1	glm-5.2	MERGE	-	-	120	-	0	fixture: routing merge 1/3
2026-01-02	live	FIX-002	routing	T1	glm-5.2	MERGE	-	-	140	-	0	fixture: routing merge 2/3
2026-01-03	live	FIX-003	routing	T1	glm-5.2	BLOCK	-	-	90	-	1	fixture: routing REAL block 3/3
2026-01-04	live	FIX-004	routing	T1	kimi-k2.6	MERGE	-	-	110	-	0	fixture: routing lucky n=1 merge
2026-01-05	live	FIX-005	ci-infra	T1	glm-5.2	MERGE	-	-	95	-	0	fixture: ci-infra only clean merge
2026-01-06	live	FIX-006	ci-infra	T1	kimi-k2.6	FIXES	-	-	130	-	1	fixture: ci-infra fixes not merge
2026-01-07	live	FIX-007	ci-infra	T1	claude-opus-4-8	FIXES	-	-	100	-	1	fixture: ci-infra fixes not merge
2026-01-08	live	FIX-008	money-path	T1	hy3-preview-or	BLOCK	-	-	150	-	2	fixture: money-path only block
2026-01-09	live	FIX-009	money-path	T1	glm-5.2	MERGE	-	-	100	-	0	fixture: money-path clean merge
2026-01-10	live	FIX-010	money-path	T1	claude-opus-4-8	MERGE	-	-	105	-	0	fixture: money-path clean merge
2026-01-11	live	FIX-011	refactor	T1	claude-haiku-4.5	MERGE	-	-	80	-	0	fixture: refactor winner
2026-01-12	live	FIX-012	refactor	T1	kimi-k2.6	FIXES	-	-	120	-	1	fixture: refactor fixes
2026-01-13	live	FIX-013	bugfix	T1	gpt-5.5	MERGE	-	-	90	-	0	fixture: bugfix winner
2026-01-14	live	FIX-014	bugfix	T1	kimi-k2.6	BLOCK	-	-	140	-	2	fixture: bugfix block
2026-01-15	live	FIX-015	frontend	T1	claude-opus-4-8	MERGE	-	-	100	-	0	fixture: frontend direct merge
2026-01-16	live	FIX-016	frontend	T1	glm-5.2	FIXES	-	-	110	-	1	fixture: frontend direct fixes
2026-01-17	live	FIX-017	tests	T1	claude-sonnet-5	MERGE	-	-	70	-	0	fixture: tests high-n 1/5
2026-01-18	live	FIX-018	tests	T1	claude-sonnet-5	MERGE	-	-	72	-	0	fixture: tests high-n 2/5
2026-01-19	live	FIX-019	tests	T1	claude-sonnet-5	MERGE	-	-	68	-	0	fixture: tests high-n 3/5
2026-01-20	live	FIX-020	tests	T1	claude-sonnet-5	MERGE	-	-	75	-	0	fixture: tests high-n 4/5
2026-01-21	live	FIX-021	tests	T1	claude-sonnet-5	FIXES	-	-	85	-	1	fixture: tests high-n 5/5 (fixes)
2026-01-22	bench	S3-01	routing	T1	glm-5.2	MERGE	-	95	120	-	0	fixture: SYNTHETIC bench row - MUST be excluded from glm-5.2/routing grade
2026-01-23	bench2	S5-01	routing	T1	glm-5.2	BLOCK	-	60	90	-	0	fixture: SYNTHETIC bench2 row - MUST be excluded from glm-5.2/routing grade
2026-01-24	bench	S3-02	bugfix	T1	synth-only-model	MERGE	-	100	110	-	0	fixture: bench-ONLY model - grade() must be None (only synthetic evidence)
2026-01-25	bench2	S4-01	tests	T1	synth-only-model	MERGE	-	100	115	-	0	fixture: bench-ONLY model - grade() must be None (only synthetic evidence)
# PROVISIONAL-vs-ACTIVE (#20): a 16-column row whose stage (col 16) is
# `provisional`. It is source=live (a REAL outcome) AND for glm-5.2/routing, so
# it passes the source allow-list and would raise that grade to n=4 (merge=3,
# block=1) IF the stage filter were reverted. The grade must stay n=3 — proving
# the stage gate excludes it ORTHOGONALLY to the source gate. Columns 14/15 are
# tokens_in/out ("-"); column 16 is the new stage field.
2026-01-26	live	FIX-PROV	routing	T1	glm-5.2	MERGE	-	-	100	-	0	fixture: PROVISIONAL live row - MUST be excluded until promoted	-	-	provisional
#
# EVAL-TAXONOMY-ALIGN (review F3 BLOCKER fix): canonical work-class taxonomy
# rows. tax-native-model has ONLY a native-canonical row (work_class=coding)
# -> proves grade(model,"coding") works directly for a router-native tag.
# tax-legacy-model has ONLY legacy fleet-shape rows (bugfix, reasoning) and
# NO native-canonical row at all -> grade(model,"coding") depends ENTIRELY
# on _LEGACY_TO_CANONICAL's bugfix->coding mapping (the fail-on-revert case:
# clearing that mapping must make the query return None), and the sibling
# "reasoning"-tagged row proves canonical buckets stay disjoint (it must
# NEVER show up in a "coding" query for the same model).
2026-01-27	live	FIX-TAX-01	coding	T1	tax-native-model	MERGE	-	-	100	-	0	fixture: TAXONOMY canonical-native row (work_class=coding directly)
2026-01-28	live	FIX-TAX-02	bugfix	T1	tax-legacy-model	MERGE	-	-	100	-	0	fixture: TAXONOMY legacy-only row (bugfix) - grade(model,"coding") depends entirely on _LEGACY_TO_CANONICAL
2026-01-29	live	FIX-TAX-03	reasoning	T1	tax-legacy-model	BLOCK	-	-	100	-	1	fixture: TAXONOMY disjoint-bucket check - must NOT be reachable via a bugfix->coding query
